,ticker,date,neg_text,uncert_text,pos_text,price_prior,price_0,price_1,price_3,price_7,p_p_n,p_0_n,Total,Buys,Holds,Sells,Rating,Target Px
0,aapl,2010-10-18,break closure cut decline disaster disasters disrupt erred error ill infringe infringed investigate investigated late lie limitation litigation loss miss poses problem problems quit restate restatement sue sued sues taint unfavorable,almost approximate approximately assume assumes contingencies could depend dependency differ intangible may risk risks uncertain uncertainties,able benefit best favorable innovation innovations invent inventing inventor satisfy strength win,29.86635398864746,30.17569923400879,29.368165969848643,29.371021270751953,29.21065330505371,28.61852836608887,28.51509094238281,46.0,44.0,2.0,0.0,4.848,51.89
1,aapl,2010-11-17,absence acquit against allege alleged breach break cancel cancellation cancelled cease ceased challenge challenges claims closed closure contrary convict convicted cut defend defending destroy destroyed destruction deter disapproval disclose disclosed disinterested disqualification disregard disregarded dissolution enjoin enjoined erred fail fails felony fined fines force forego ill illegal inability incapacity incident inconsistent lack late lie limitation limitations lose loss losses lost miss neglect objection omission omissions oppose opposed plea pleas pled poses postpone postponement preclude prejudice protest protesting question questions quit refusal refuse refuses resign resignation restate restated revocation revoke revoked stolen sue sued terminate terminated termination unable unsound,appear appearing appears depend dependent differ indefinite may might pending possible tending variable,able beneficial beneficially desired effective empower empowered enjoy enjoyed exclusive exclusively gain gains great greater highest opportunity pleasure satisfies satisfy succeed succeeding success valuable win,28.61852836608887,28.51509094238281,29.267580032348643,29.73540496826172,29.89101982116699,33.068023681640625,32.32500457763672,48.0,44.0,4.0,0.0,4.771,53.41
2,aapl,2011-01-18,break closure cut decline disaster disasters disrupt erred error firing ill infringe infringed late lie limitation loss miss poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ intangible may risk risks uncertain uncertainties,able benefit best exciting favorable innovation innovations invent inventing inventor satisfy win,33.068023681640625,32.32500457763672,32.15325927734375,31.00316429138184,32.56793594360352,33.068023681640625,32.32500457763672,51.0,47.0,4.0,0.0,4.784,57.38
3,aapl,2011-01-18,absence break closure cut ill late lie miss sue sued,,able exciting great satisfaction satisfy win,33.068023681640625,32.32500457763672,32.15325927734375,31.00316429138184,32.56793594360352,32.51194381713867,32.53662872314453,51.0,47.0,4.0,0.0,4.784,57.38
4,aapl,2011-02-24,break cut deter ill lie lose miss,depend dependent,able gain gains satisfy win,32.51194381713867,32.53662872314453,33.037647247314446,33.146778106689446,33.72086715698242,32.060264587402344,32.492015838623054,52.0,49.0,3.0,0.0,4.827,61.2
5,aapl,2011-04-20,break closure cut decline disaster disasters disrupt erred error firing ill infringe infringed late lie limitation loss miss plea pleas poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ intangible may risk risks uncertain uncertainties,able benefit best favorable innovate innovation innovations invent invented inventor pleased satisfy win,32.060264587402344,32.492015838623054,33.27867889404297,33.497879028320305,33.22459030151367,31.54594993591309,31.00600433349609,51.0,47.0,4.0,0.0,4.803999999999999,63.03
6,aapl,2011-06-15,break cut late lie miss resign resigned,,able effective satisfy win,31.54594993591309,31.00600433349609,30.85512542724609,29.92138671875,30.96804428100586,35.47068405151367,35.76010131835937,51.0,47.0,4.0,0.0,4.803999999999999,65.43
7,aapl,2011-07-19,break closure cut decline disaster disasters disrupt erred error ill infringe infringed late lie limitation loss miss plea pleas poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit best excited favorable innovation innovations invent invented inventor pleased satisfy win,35.47068405151367,35.76010131835937,36.71377182006836,37.32107925415039,37.180641174316406,35.46309280395508,36.39873123168945,54.0,50.0,4.0,0.0,4.815,67.05
8,aapl,2011-08-26,break closure cut ill late lie miss resign resigned,,able leadership satisfaction satisfy win,35.46309280395508,36.39873123168945,37.005088806152344,36.5173454284668,36.034339904785156,35.8929557800293,35.8094482421875,51.0,48.0,3.0,0.0,4.843,71.54
9,aapl,2011-10-06,break cut ill lie miss sue sued,,able better great greatest improve innovation innovations satisfy win,35.8929557800293,35.8094482421875,35.09111785888672,37.984375,39.853763580322266,39.853763580322266,40.0672492980957,52.0,49.0,3.0,0.0,4.846,71.72
