,ticker,date,neg_text,price_prior,price_0,price_1,price_3,price_7,true_price
0,MSFT,2010-11-19,break cut ill inability lie miss reject rejected,20.979637145996094,-10.74,-10.6,-11.85,-12.23,23.36664390563965
1,MSFT,2011-01-27,adverse adversely break catastrophic challenge challenges claims closure conciliation cut cyberattack defer deficit delay delays disaster dispute disputes disrupt disrupting disruption disruptions doubt doubtful erred fail fails harm ill impair impairment improper infringe infringed late lie litigation lose loss miss outage outages plea pleas poses problem problems quit sue sued taint tense unanticipated unauthorized unfavorable vulnerabilities,23.36664390563965,2.38,-1.6,-0.74,0.0,22.895734786987305
2,MSFT,2011-02-08,adverse against allege alleged arrears bankrupt bankruptcy breach break calamity cease claims closure concern conflict contrary crisis culpability cut damage damages default defaulting defaults defend defending deter disapprove disapproved dispose downgrading erred fail failed failure fault faulted faults fined force forego fraud fraudulent guilty harm ill illegal illegality impair impracticable impractical inadvisable inappropriate incident inconsistent ineligible injunction insolvency insufficient invalid invalidity investigating investigation investigations late lie limitation limitations lose losing loss losses lying mislead misleading misrepresent misrepresentation miss moratorium negative objection omission omissions omit omits omitted overdue overtly plea plead pleaded pleas poses postpone preventing question questions quit reparation reparations sever solvency sue sued sues suspend suspending suspension terminate terminated termination threat threaten threatened threatening unavailable violate,22.895734786987305,6.57,5.4,2.69,3.15,21.544660568237305
3,MSFT,2011-04-28,adverse adversely break catastrophic challenge challenges claims closure cut cyberattack deficit delay delays disaster dispute disputes disrupt disrupting disruption disruptions doubt doubtful easing erred fail fails harm ill impair impairment improper infringe infringed late lie litigation lose loss miss outage outages plea pleas poses problem problems quit sue sued taint tense unanticipated unauthorized unfavorable vulnerabilities,21.544660568237305,3.41,0.35,-0.08,0.0,21.09547996520996
4,MSFT,2011-05-10,adverse adversely barrier barriers break catastrophic closing closure cut cyberattack disaster dispute disputes disrupt disrupting disruption disruptions easing fail fails force harm ill infringe infringed late lie litigation losing miss plea pleas problem problems sue sued taint tense unauthorized vulnerabilities,21.09547996520996,-5.75,-6.89,-8.1,-8.65,22.24488067626953
5,MSFT,2011-07-21,adverse adversely break catastrophic challenge challenges claims closure cut cyberattack decline declined defer deficit delay delays disaster dispute disputes disrupt disrupting disruption disruptions doubt doubtful erred fail fails harm ill impair impairment improper infringe infringed late lie litigation lose loss losses miss negative negatively outage outages overage plea pleas poses problem problems quit sever sue sued taint tense unanticipated unauthorized unfavorable vulnerabilities,22.24488067626953,-0.74,0.84,2.85,-0.11,22.44318962097168
6,MSFT,2011-10-20,adverse adversely break catastrophic challenge challenges claims closure cut cyberattack deficit delay delays disaster dispute disputes disrupt disrupting disruption disruptions doubt doubtful easing erred fail fails harm ill impair impairment improper infringe infringed late lie litigation lose loss miss outage outages plea pleas poses problem problems quit sue sued taint tense unanticipated unauthorized unfavorable vulnerabilities,22.44318962097168,2.95,3.4,2.07,1.38,21.72870635986328
7,MSFT,2011-11-17,break cut ill inability lie miss reject rejected,21.72870635986328,-0.85,-1.79,-3.77,-3.45,21.47032928466797
8,MSFT,2011-12-22,break cut deter disclose ill late lie lose miss,21.47032928466797,-8.57,-7.79,-7.76,-7.83,23.529014587402344
9,MSFT,2012-01-19,adverse adversely break catastrophic challenge challenges claims closure cut cyberattack decline defer deficit delay delays disaster dispute disputes disrupt disrupting disruption disruptions doubt doubtful downward erred fail fails harm ill impair impairment improper infringe infringed late lie litigation lose loss miss outage outages plea pleas poses problem problems quit sue sued taint tense unanticipated unauthorized unfavorable vulnerabilities,23.529014587402344,-10.6,-5.55,-6.73,-5.87,26.21757888793945
